split,held_group,profile_id,waveform_id,simulation_seed,fixed_package_3_candidates,fixed_package_3_cost,fixed_package_3_regret,fixed_package_3_evm_pct,fixed_package_3_aclr_db,knn_seed,knn_seed_candidates,knn_seed_cost,knn_seed_regret,knn_seed_evm_pct,knn_seed_aclr_db,unconditional_local_candidates,unconditional_local_final_cost,unconditional_local_regret,unconditional_local_evm_pct,unconditional_local_aclr_db,best_seed,best_final_cost,predicted_regret,predicted_uncertainty,nearest_feature_distance_ppm,safe_neighbor_count,safety_neighbor_count,regret_budget,action,gated_candidates,gated_final_cost,gated_regret,gated_evm_pct,gated_aclr_db,direct_actual_regret,direct_validation_ok
profile,gain_mid_low,gain_mid_low,qam64_bw20_bo070,67,1,36860.8402296831,381.8830456789947,7.97151880874688,-142.99181843271,5,1,36674.4927935901,195.535609585997,7.965646838665,-142.984013494748,14,36478.9571840041,0.0,7.9628411173573,-142.74849470061,5,36478.9571840041,134,101,2404581,0,5,100,local_search,14,36478.9571840041,0.0,7.9628411173573,-142.74849470061,195.535609585997,1
profile,gain_mid_low,gain_mid_low,qam64_bw40_bo058,41,1,31992.7547946444,91.19241019299807,5.10789283738044,-150.305056365454,2,1,31912.6496730149,11.087288563499897,5.10444483763283,-150.303468203455,14,31901.5623844514,0.0,5.10102980620397,-150.293801969297,2,31901.5623844514,42,2,1698202,4,5,100,local_search,14,31901.5623844514,0.0,5.10102980620397,-150.293801969297,11.087288563499897,1
profile,gain_mid_low,gain_mid_low,qam64_bw40_bo058,53,1,32833.6663049492,328.1595515989975,5.80623567257324,-148.163902363731,2,1,32722.2515058827,216.74475253250057,5.80204636198782,-148.163343189257,14,32505.5067533502,0.0,5.79461993410482,-148.097975853817,2,32505.5067533502,102,3,1727717,1,5,100,local_search,14,32505.5067533502,0.0,5.79461993410482,-148.097975853817,216.74475253250057,1
profile,gain_mid_low,gain_mid_low,qam64_bw40_bo058,67,1,31137.0430087182,57.50296626659838,5.66252373225124,-151.43583170405,2,1,31061.5060246624,-18.034017789199424,5.65928456835816,-151.439475008554,14,31079.5400424516,0.0,5.64806198194864,-151.473672799633,2,31079.5400424516,0,0,1662475,5,5,100,direct,1,31061.5060246624,-18.034017789199424,5.65928456835816,-151.439475008554,-18.034017789199424,1
profile,gain_mid_low,gain_mid_low,qam64_bw40_bo070,41,1,35462.909379838,281.47404136649857,5.26307570272186,-150.239784389495,5,1,35313.4775503714,132.04221189989767,5.25585752309986,-150.241023515423,14,35184.5471955676,3.111857096097083,5.24469543800248,-150.231100415315,1,35181.4353384715,332,2,1714628,0,5,100,local_search,14,35184.5471955676,3.111857096097083,5.24469543800248,-150.231100415315,132.04221189989767,1
profile,gain_mid_low,gain_mid_low,qam64_bw40_bo070,53,1,32615.6417346576,139.84899481980028,5.78691861766297,-148.124858438451,5,1,32558.7868926799,82.99415284209681,5.78444828515302,-148.12576022018,14,32475.7927398378,0.0,5.77855373892738,-148.062738559216,5,32475.7927398378,275,11,1793018,0,5,100,local_search,14,32475.7927398378,0.0,5.77855373892738,-148.062738559216,82.99415284209681,1
profile,gain_mid_low,gain_mid_low,qam64_bw40_bo070,67,1,30978.0460136804,5.003493957399769,5.64595414922083,-151.501265899812,5,1,30955.7331914398,-17.309328283201467,5.64539358378443,-151.497704609967,14,30975.9392524762,2.896732753200922,5.63473073564122,-151.522294122306,1,30973.042519723,284,6,1706559,0,5,100,local_search,14,30975.9392524762,2.896732753200922,5.63473073564122,-151.522294122306,-17.309328283201467,1
profile,memory_short,memory_short,qam16_bw20_bo058,41,1,29883.1597744557,359.4423558620001,6.82931409216532,-134.582137630393,2,1,29968.1384503875,444.4210317938014,6.8316424999279,-134.57859058138,14,29659.2130751532,135.49565655949846,6.81411493901665,-134.475230575802,5,29523.7174185937,342,1,2061335,0,5,100,local_search,14,29659.2130751532,135.49565655949846,6.81411493901665,-134.475230575802,444.4210317938014,1
profile,memory_short,memory_short,qam16_bw20_bo058,53,1,30566.6406918862,289.5976958928004,7.99024951176727,-142.748782685429,2,1,30640.2897118785,363.24671588509955,7.99209179030314,-142.7496892467,14,30402.8424213061,125.7994253126999,7.97779690598172,-143.131904143178,5,30277.0429959934,317,7,264920,0,5,100,local_search,14,30402.8424213061,125.7994253126999,7.97779690598172,-143.131904143178,363.24671588509955,1
profile,memory_short,memory_short,qam16_bw20_bo058,67,1,29647.7743526112,27.860133663099987,8.22038074031156,-133.005156863691,2,1,29728.1961691063,108.28195015820165,8.22173565598441,-133.007993419258,14,29730.4392656177,110.52504666960158,8.21905906348849,-132.968973514843,5,29619.9142189481,0,0,252057,0,5,100,local_search,14,29730.4392656177,110.52504666960158,8.21905906348849,-132.968973514843,108.28195015820165,1
