split,held_group,profile_id,waveform_id,simulation_seed,fixed_package_3_candidates,fixed_package_3_cost,fixed_package_3_regret,fixed_package_3_evm_pct,fixed_package_3_aclr_db,knn_seed,knn_seed_candidates,knn_seed_cost,knn_seed_regret,knn_seed_evm_pct,knn_seed_aclr_db,unconditional_local_candidates,unconditional_local_final_cost,unconditional_local_regret,unconditional_local_evm_pct,unconditional_local_aclr_db,best_seed,best_final_cost,predicted_regret,predicted_uncertainty,nearest_feature_distance_ppm,safe_neighbor_count,safety_neighbor_count,regret_budget,action,gated_candidates,gated_final_cost,gated_regret,gated_evm_pct,gated_aclr_db,direct_actual_regret,direct_validation_ok
waveform,qam64_bw20_bo058,thermal_drift,qam64_bw20_bo058,67,1,66244.2785311795,-38.365492125594756,9.64459272925732,-143.675374285262,5,1,66256.0901208445,-26.553902460596873,9.64518191698141,-143.666668897039,14,66321.1629457532,38.51892244810006,9.65180541039724,-143.419618314166,2,66282.6440233051,283,10,1614668,0,5,100,local_search,14,66321.1629457532,38.51892244810006,9.65180541039724,-143.419618314166,-26.553902460596873,1
waveform,qam64_bw20_bo058,thermal_mild,qam64_bw20_bo058,41,1,44155.6508465706,149.3470124302985,7.97525819602474,-135.506294146852,5,1,44166.1682497769,159.864415636599,7.97546374993637,-135.504061726628,14,44017.5744452372,11.27061109690112,7.95786944971494,-135.369493057664,2,44006.3038341403,481,37,1612983,0,5,100,local_search,14,44017.5744452372,11.27061109690112,7.95786944971494,-135.369493057664,159.864415636599,1
waveform,qam64_bw20_bo058,thermal_mild,qam64_bw20_bo058,53,1,44105.757403147,39.466906468296656,8.52772471148904,-138.076231683768,5,1,44117.3613296255,51.070832946796145,8.52823299442469,-138.076825384922,14,44075.308226407,9.017729728300765,8.51418692718782,-138.218229892791,2,44066.2904966787,46,42,1056814,0,5,100,local_search,14,44075.308226407,9.017729728300765,8.51418692718782,-138.218229892791,51.070832946796145,1
waveform,qam64_bw20_bo058,thermal_mild,qam64_bw20_bo058,67,1,45352.0789998689,-47.616771533401334,8.41671376783995,-143.157320509824,5,1,45368.8107399674,-30.885031434903794,8.41735144260374,-143.149641983864,14,45454.6434210801,54.947649677800655,8.42495944992751,-142.908420550144,2,45399.6957714023,205,7,1927054,0,5,100,local_search,14,45454.6434210801,54.947649677800655,8.42495944992751,-142.908420550144,-30.885031434903794,1
waveform,qam64_bw20_bo070,baseline,qam64_bw20_bo070,41,1,38924.6260869118,897.9453026316987,7.65189181529414,-135.393133079613,5,1,38690.8808653495,664.2000810694008,7.64302718833596,-135.391167145211,14,38026.6807842801,0.0,7.60968887165152,-135.2505609709,5,38026.6807842801,162,27,1600052,0,5,100,local_search,14,38026.6807842801,0.0,7.60968887165152,-135.2505609709,664.2000810694008,1
waveform,qam64_bw20_bo070,baseline,qam64_bw20_bo070,53,1,33996.023530802,183.14200661209907,8.06536191337594,-138.202405520889,5,1,33909.2358279268,96.35430373690178,8.06322362937801,-138.200872601449,14,33812.8815241899,0.0,8.05113522981405,-138.341248891374,5,33812.8815241899,41,24,1066515,0,5,100,local_search,14,33812.8815241899,0.0,8.05113522981405,-138.341248891374,96.35430373690178,1
waveform,qam64_bw20_bo070,baseline,qam64_bw20_bo070,67,1,40048.6804144404,624.757772946803,8.0810975451061,-143.033950648891,5,1,39787.0947974246,363.17215593100264,8.07211068842873,-143.026769522219,14,39423.9226414936,0.0,8.06206103796039,-142.791369268556,5,39423.9226414936,133,173,6845254,3,5,100,local_search,14,39423.9226414936,0.0,8.06206103796039,-142.791369268556,363.17215593100264,1
waveform,qam64_bw20_bo070,combined_stress,qam64_bw20_bo070,41,1,76877.6726633803,422.52259866210807,9.68423799475329,-136.228795527312,5,1,76853.0432971984,397.8932324802008,9.68236260733425,-136.226907931214,14,76455.1500647182,0.0,9.57897192078166,-135.406915290267,5,76455.1500647182,411,2,1565227,0,5,100,local_search,14,76455.1500647182,0.0,9.57897192078166,-135.406915290267,397.8932324802008,1
waveform,qam64_bw20_bo070,combined_stress,qam64_bw20_bo070,53,1,76534.1751934479,-103.02891129840282,10.13635000752,-137.920459110923,5,1,76590.0103354196,-47.193769326695474,10.1395080309157,-137.918706157445,14,76761.9817565084,124.77765176209505,10.0463048372432,-138.755383602286,2,76637.2041047463,0,0,1074995,0,5,100,local_search,14,76761.9817565084,124.77765176209505,10.0463048372432,-138.755383602286,-47.193769326695474,1
waveform,qam64_bw20_bo070,combined_stress,qam64_bw20_bo070,67,1,78135.9793552465,-172.15962175860477,10.0117971383379,-144.568046779196,5,1,78127.4136784116,-180.7252985935047,10.0114235353035,-144.560889361268,14,78319.354560408,11.2155834028963,10.0309393411641,-143.168809044204,1,78308.1389770051,0,0,1496531,0,5,100,local_search,14,78319.354560408,11.2155834028963,10.0309393411641,-143.168809044204,-180.7252985935047,1
